TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1055,50,69,966,77,21198,3922,3925,327625,186,286,496,2110,50,0.8178074784737415,0.8514851485148515,0.8901734104046243,0.9446153846153846
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,830,90,26,725,1934,445740,106430,106435,204639,86,151,332,885,90,0.8402136095495739,0.883495145631068,0.9197530864197531,0.7279596977329975
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1024,104,33,946,1642,607672,90395,90396,198236,77,159,361,1629,104,0.8719527776916333,0.905982905982906,0.9664804469273743,0.8995726495726496
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2012,214,72,1698,241,71671,13257,13263,326867,185,333,535,2942,214,0.806628863928908,0.848,0.9017341040462428,0.9197183098591549
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,2080,226,87,1748,228,118465,11562,11563,296757,263,398,1177,5329,226,0.7743633349680296,0.8409893992932862,0.8735632183908046,0.770949720670391
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1055,50,69,907,106,38401,5207,5213,306664,161,245,438,2876,50,0.7973145345406536,0.7920792079207921,0.8497109826589595,0.8923076923076924
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,443,62,21,417,2355,470892,129583,129587,198455,60,96,202,882,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1024,104,33,962,1523,546351,83847,83848,198990,77,146,369,1501,104,0.8706641178978188,0.9230769230769231,0.9776536312849162,0.9230769230769231
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,5652,1504,51,2629,502,271752,27598,27604,373231,232,439,615,3479,1504,0.6269877037324354,0.4206714944042133,0.45826602046311254,0.6119929453262787
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,7058,1796,141,2921,35,30402,1914,1920,545321,219,373,742,6320,1796,0.42787850191769744,0.3356756756756757,0.46176046176046176,0.515881708652793
