TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.internal.bind.JsonTreeWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,443,62,21,417,754,140708,39096,39099,75843,56,92,199,821,62,0.8774231022034806,0.9054054054054054,0.9518072289156626,0.896551724137931
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,2080,226,87,1529,69,37285,3381,3387,155365,187,300,776,4434,226,0.6947414614881209,0.7703180212014135,0.7770114942528735,0.7262569832402235
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1218,202,18,947,138,46476,7324,7329,137735,63,113,82,764,202,0.784555376127593,0.7652582159624414,0.8205128205128205,0.7409638554216867
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1112,132,21,965,60,22615,3228,3233,92207,68,134,203,1024,132,0.8749958793993922,0.8029197080291971,0.8457142857142858,0.8888888888888888
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,3512,676,64,1209,34,18140,1745,1750,131223,112,190,399,2701,676,0.46402702808305835,0.24186704384724186,0.26618705035971224,0.5217391304347826
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,5652,1504,51,2139,173,101027,9112,9117,204026,201,397,527,3459,1504,0.5860519161491813,0.32323897300855825,0.3651050080775444,0.5749559082892416
com.alibaba.fastjson.JSONPath,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,7058,1796,141,3089,62,46193,3026,3032,242582,266,449,922,7316,1796,0.4593759670983995,0.35567567567567565,0.4737854737854738,0.5257393209200438
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,2813,670,39,1925,195,59731,10202,10207,112607,151,354,568,2476,670,0.6816505518393123,0.6809453471196455,0.6944858420268256,0.5980253878702397
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,2813,670,39,1977,209,53822,10993,10994,115292,156,337,567,2069,670,0.6941379916361048,0.691285081240768,0.7272727272727273,0.616361071932299
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,2012,214,72,1480,49,18664,2662,2667,159119,145,242,400,1874,214,0.7276467882552595,0.736,0.7745664739884393,0.8267605633802817
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1211,140,60,678,43,15406,2244,2249,101769,72,124,170,1003,140,0.6227850421737177,0.47093023255813954,0.5905511811023622,0.5645645645645646
com.google.gson.stream.JsonWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1024,104,33,929,474,151203,24894,24897,77336,74,133,316,1377,104,0.8633352537397777,0.8974358974358975,0.9608938547486033,0.8739316239316239
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,2012,214,72,1516,72,32425,3854,3859,141973,161,285,496,2849,214,0.7464038267572929,0.744,0.7832369942196532,0.8183098591549296
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,1218,202,18,926,182,50548,9675,9681,129855,64,115,92,791,202,0.7752700348255847,0.7464788732394366,0.7905982905982906,0.7329317269076305
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,265,8,22,232,406,45498,21183,21184,90514,76,96,180,676,8,0.8412960247637667,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,3512,676,64,1353,70,37098,3538,3543,142565,124,212,512,2601,676,0.5137261578042115,0.3041018387553041,0.30729701952723537,0.5250836120401338
