TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.stream.JsonReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,2813,670,39,2249,728,191651,40132,40138,251394,180,396,664,2643,670,0.7760327366394543,0.8050221565731167,0.7928464977645305,0.7009873060648801
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,1127,198,26,1010,60,21422,3368,3374,284544,68,148,197,1104,198,0.7166480904196079,0.8537735849056604,0.8458646616541353,0.9546666666666667
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,3512,676,64,2313,153,79446,8134,8139,294199,185,367,699,4128,676,0.6897832269216349,0.5983026874115983,0.6187050359712231,0.7614269788182831
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,0,991,82,51,793,101,27231,4794,4797,336584,81,130,286,1214,82,0.7388734391007394,0.7787610619469026,0.8318318318318318,0.6917808219178082
org.json.JSONTokener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1112,132,21,1029,137,50017,7575,7581,215444,81,143,253,1085,132,0.901745638431258,0.9051094890510949,0.9085714285714286,0.9111111111111111
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,1627,232,60,1051,16,17292,817,821,208357,59,90,242,1863,232,0.5313622708300472,0.5419847328244275,0.6666666666666666,0.6802721088435374
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,1,221,18,18,196,1071,149345,58998,59003,198108,38,64,105,648,18,0.8871951219512195,1.0,1.0,1.0
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,2080,226,87,1694,225,123594,11340,11345,283432,258,405,1162,5596,226,0.7583505650957282,0.823321554770318,0.8436781609195402,0.7527932960893855
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,221,18,18,198,1095,152935,60300,60304,196571,41,64,121,593,18,0.8902439024390244,1.0,1.0,1.0
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1627,232,60,908,18,13834,915,920,209433,52,76,210,1373,232,0.4753404827136526,0.4580152671755725,0.6124031007751938,0.5493197278911565
com.alibaba.fastjson.JSONValidator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,2,1127,198,26,997,53,20595,2976,2979,301220,67,138,204,1271,198,0.7125515043959681,0.8301886792452831,0.8383458646616542,0.9493333333333334
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,427,48,30,422,621,107220,34201,34206,208794,91,141,293,913,48,0.8735782386349035,1.0,1.0,0.9714285714285714
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,1218,202,18,952,718,171361,39483,39488,229025,70,127,91,861,202,0.785270808958592,0.7793427230046949,0.8333333333333334,0.7429718875502008
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,3,3512,676,64,2193,185,107542,9845,9851,301344,175,358,811,4694,676,0.6666254615406562,0.5912305516265912,0.5971223021582733,0.6845039018952063
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_fuzzer,4,3512,676,64,2228,137,63784,7339,7344,292023,190,369,698,3991,676,0.6815411553951116,0.5884016973125884,0.60431654676259,0.7034559643255296
