TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,LineCoverage,WeakMutationScore
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,221,18,18,197,447,67620,22470,22475,75583,39,67,111,479,18,0.8950076219512195,1.0,1.0,1.0
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,265,8,22,230,374,43491,19568,19571,98963,74,95,173,588,8,0.842658274109887,1.0,0.9444444444444444,1.0
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1627,232,60,1043,15,10636,757,763,86625,55,90,213,1266,232,0.5165334263524827,0.5648854961832062,0.6434108527131783,0.673469387755102
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,0,1055,50,69,922,54,17382,2636,2640,156868,169,246,465,2282,50,0.7968707320443958,0.8118811881188119,0.8554913294797688,0.9138461538461539
com.alibaba.fastjson.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,1055,50,69,654,19,8709,919,923,140203,97,143,303,2359,50,0.6260168711034115,0.6435643564356436,0.6358381502890174,0.6923076923076923
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,427,48,30,413,169,33702,8520,8521,80838,81,132,253,969,48,0.8716933239486757,1.0,1.0,0.9714285714285714
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,1,2012,214,72,1547,77,31935,4089,4095,135052,152,261,486,2427,214,0.7505274781314735,0.764,0.815028901734104,0.8577464788732394
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,991,82,51,787,40,12031,1677,1682,205053,75,127,276,1382,82,0.753038052130071,0.7964601769911505,0.8258258258258259,0.6952054794520548
com.google.gson.internal.LinkedHashTreeMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1627,232,60,834,5,4144,271,276,93370,50,67,187,1364,232,0.48556754383220024,0.4198473282442748,0.5736434108527132,0.4931972789115646
org.json.XML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,2,1218,202,18,923,160,42364,8525,8529,123886,61,115,78,634,202,0.7682322106901447,0.7370892018779343,0.7777777777777778,0.7349397590361446
com.google.gson.JsonObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,221,18,18,190,632,96507,31808,31809,85523,38,64,108,532,18,0.8780487804878049,1.0,1.0,1.0
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,433,68,23,402,129,38447,6819,6822,81919,76,104,232,1016,68,0.8683423185783532,0.9090909090909091,0.967741935483871,0.8681318681318682
com.google.gson.internal.bind.JsonTreeReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,3,830,90,26,764,566,133109,29474,29479,82692,74,142,284,898,90,0.8535374343595183,0.912621359223301,0.9382716049382716,0.8337531486146096
com.google.gson.Gson,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,991,82,51,792,38,11396,1713,1718,99751,77,123,268,1205,82,0.7466465401419639,0.8053097345132744,0.8408408408408409,0.6952054794520548
com.alibaba.fastjson.parser.DefaultJSONParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,3512,676,64,1437,54,25257,2734,2737,133540,122,213,415,2513,676,0.5108429727259595,0.31683168316831684,0.31654676258992803,0.5830546265328874
com.alibaba.fastjson.JSON,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,2080,226,87,1570,69,38487,3389,3394,165294,204,317,930,4914,226,0.7149072106455298,0.7703180212014135,0.7816091954022989,0.7402234636871509
com.google.gson.JsonArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,4,427,48,30,408,76,14158,3894,3898,85269,79,126,242,1062,48,0.8659574322848406,1.0,1.0,0.9714285714285714
org.json.JSONArray,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,2012,214,72,1485,37,16133,1979,1984,216373,141,236,443,2642,214,0.7364273531010418,0.72,0.7745664739884393,0.8267605633802817
com.google.gson.JsonPrimitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,433,68,23,397,133,40988,7039,7042,79010,73,115,212,1084,68,0.8607203673588409,0.9090909090909091,0.967741935483871,0.8681318681318682
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,5,1110,96,22,961,24,15766,1311,1316,130414,72,116,209,1254,96,0.782828356185607,0.7115384615384616,0.8141025641025641,0.8912386706948641
com.alibaba.fastjson.JSONObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,1211,140,60,665,22,9631,1139,1144,102889,68,116,158,966,140,0.6128766618539546,0.46511627906976744,0.5748031496062992,0.5585585585585585
com.alibaba.fastjson.parser.JSONReaderScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,1110,96,22,932,14,8741,820,825,131794,63,97,179,962,96,0.738941112830952,0.7019230769230769,0.8012820512820513,0.8761329305135952
com.google.gson.JsonElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,265,8,22,236,540,46600,28144,28146,104482,79,102,198,813,8,0.8468202183121538,1.0,0.9444444444444444,1.0
com.alibaba.fastjson.parser.JSONScanner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,EvoSuite_vanilla,6,5652,1504,51,2123,120,62153,6353,6354,199676,193,347,503,2590,1504,0.5604717735726039,0.3238973008558262,0.37318255250403876,0.5731922398589065
